1,1104,2695,1757,343,1236,1609,3303,73,2263,520
2,312,2478,1205,2669,1731,1996,216,3007,1471,429
3,2834,936,3292,2007,3281,2710,959,1805,2744,854
4,1243,134,880,4,373,1873,2540,345,1086,61
5,1277,8,1480,1916,495,1860,2625,3165,2015,3140
6,84,3056,2422,2679,2286,2301,2149,1932,1460,3353
7,1572,2872,705,757,723,237,1288,1620,1421,398
8,2855,847,1063,581,1128,712,3395,3324,569,233
9,1603,1760,628,2070,969,779,1847,464,2724,3069
10,2877,1371,3323,980,3335,2639,1921,1050,2880,994
11,1822,3137,3304,2626,2569,1482,343,1864,1526,2308
12,2720,207,1395,2629,1102,2954,735,2016,1414,843
13,3012,495,2745,519,1205,2309,2952,1931,578,2725
14,1045,2425,2359,1561,1768,853,1411,2111,3367,1105
15,2709,511,2872,2318,953,2677,1531,2603,2096,1406
16,77,953,1123,2770,2525,1541,1589,3173,1621,3374
17,2029,1812,2548,1975,1256,1190,1296,2629,3128,2510
18,1234,1587,895,1324,1239,1192,398,2396,1840,3168
19,1716,3099,1792,1089,432,2912,438,1178,3167,1633
20,409,442,1207,3127,638,3240,2441,2689,3099,3034
21,2071,133,2257,814,2287,1260,2798,2837,124,2395
22,1978,2124,2222,72,2880,994,565,755,2068,3196
23,2654,156,2629,3309,1651,786,280,170,2115,1666
24,2956,2012,2982,3129,493,1176,1753,2460,47,355
25,542,2646,2164,2999,3290,659,842,2154,754,1215
26,521,3090,3278,1131,965,3116,1685,2637,2514,315
27,1427,771,3054,2637,2936,877,2230,1586,2032,1382
28,3392,1996,2203,699,2049,1811,3058,2765,838,1184
29,1429,1899,636,2281,1676,1866,1177,1884,2680,114
30,2369,968,3213,611,1728,2185,2966,888,58,3055
31,2058,211,2641,731,1759,269,314,2917,2011,2873
32,2441,2422,1362,23,2518,127,3334,1974,964,2053
33,3074,2326,1980,1050,1749,1881,2070,1660,3075,1763
34,1404,233,1676,268,1275,1725,2213,2663,1170,1068
35,2857,3191,1317,2633,170,2159,556,1922,953,1105
36,448,2687,1040,522,1109,2523,1694,732,361,1523
37,3233,706,874,717,795,3335,1502,2881,2694,2433
38,511,2627,3226,3022,2074,1772,1793,1373,3389,437
39,2023,1840,2372,1249,3050,1277,2185,1520,59,500
40,2886,187,303,1149,2910,123,1348,452,1511,1702
41,432,2242,1931,3123,2522,1655,2419,1030,429,1174
42,158,290,2813,1126,715,934,2760,1549,678,2474
43,1582,580,2971,2244,3219,2828,903,106,272,249
44,110,693,516,1517,3342,1131,373,1509,3130,815
45,3176,2952,2569,2184,2284,2898,2611,725,1004,1038
46,1641,2002,2217,1663,1732,3086,2012,461,1784,689
47,2951,1665,3320,2969,2608,2166,2695,1658,1810,1584
48,3038,1676,1548,2220,2704,228,1019,785,2558,3167
49,375,1663,325,2015,2251,2734,3153,1865,2188,139
50,597,793,472,2136,3094,604,1194,3279,2023,145
51,2469,2509,737,2730,538,900,2397,1292,1119,52
52,2744,2647,1234,1994,278,1896,1687,1365,3091,2322
53,1548,3378,1446,1567,2288,1630,2623,2396,2407,3029
54,205,96,3011,1366,916,3091,2556,1616,1247,1122
55,2074,479,592,313,1699,2457,2079,2927,2381,2514
56,530,1822,1417,2484,567,883,31,3372,1865,2907
57,1532,526,466,3279,1985,507,546,883,3151,2564
58,1642,2049,2236,1707,1184,903,850,2810,1506,1464
59,923,11,2030,2060,446,1379,1475,1673,2494,1469
60,3310,215,2524,413,1518,824,3331,3181,2123,2513
61,714,490,1398,2620,2435,2852,3143,975,2985,602
62,918,2987,270,996,2052,2660,1434,123,2409,336
63,2043,2128,1982,343,1693,1008,1296,2977,3083,2927
64,1776,1515,1290,985,803,2486,945,3158,2603,2252
65,3048,470,1407,3145,526,1153,2578,1266,2312,2588
66,3312,2281,1206,1740,743,316,3103,3393,2506,304
67,856,1471,2157,918,3325,1525,2988,1330,1429,1766
68,1696,603,2858,2853,2764,664,2902,1584,1196,414
69,2072,657,2542,2571,1161,1986,1696,974,1946,898
70,1803,2966,2943,2350,332,3323,1318,1287,2358,2771
71,3356,2615,2332,3375,1902,2915,1181,3248,943,1093
72,1335,234,3057,3009,2422,1701,2199,2020,2446,889
73,971,1311,763,2143,226,2557,2697,2575,1155,35
74,3306,894,506,2416,1813,975,2148,1017,1117,857
75,2492,833,2504,1574,2697,2414,988,439,1139,1504
76,2801,2339,2937,2680,2203,2884,954,26,142,70
77,1906,149,339,218,622,1472,980,687,3336,2850
78,2761,2655,985,1018,971,2036,1864,1766,1579,1369
79,1842,182,34,1157,2264,1692,1762,236,177,3129
80,1803,234,2229,221,253,2537,114,2070,1093,3068
81,3289,3039,1404,1002,2108,3350,1781,253,644,1490
82,2478,2551,419,2380,3250,400,2466,1525,1927,959
83,1396,3362,3373,1381,161,847,2198,1763,1933,1362
84,721,2295,197,3307,459,1995,2904,235,1558,3282
85,482,2971,782,1707,937,1941,93,1154,2696,2133
86,3397,543,2222,2500,1394,1745,1313,1563,2754,1987
87,766,687,1087,2143,1708,2501,1452,1380,637,584
88,3131,586,1284,324,2606,882,2148,3009,1249,2009
89,1563,1525,2189,843,384,1683,780,1796,2322,17
90,2432,1829,949,307,2621,2429,1818,420,3268,2874
91,3118,1987,433,1613,3344,3177,2836,2571,2517,2860
92,3293,1406,2735,872,1589,187,2544,1440,1649,60
93,3365,315,2477,2864,95,1482,3074,808,3366,781
94,3168,1381,1421,2848,1109,2822,1355,2790,148,2841
95,416,2003,1691,262,3287,87,2793,1381,1929,133
96,982,408,2281,1447,2514,2872,3369,781,1214,3351
97,1577,846,746,979,3328,2558,1219,2540,2433,2780
98,932,2549,557,1971,1698,800,51,7,915,713
99,2719,1481,606,1004,2102,217,228,945,46,2186
100,84,1929,1187,935,820,1887,2292,1564,1510,2280
101,2898,3079,1352,201,2348,2853,1787,1023,182,843
102,2174,3102,2340,1314,2187,388,3302,2158,2163,148
103,2224,292,867,2121,639,2516,988,2012,2485,193
104,210,359,2818,2154,3360,239,1079,1660,2220,1000
105,61,3391,18,1154,2134,3275,731,99,198,389
106,1089,2326,2136,1373,374,1645,2360,1928,952,1105
107,1568,2283,312,1901,1466,123,2897,1259,2464,1459
108,1114,1068,1569,1111,1658,1674,1133,98,1253,418
109,727,3193,3222,1515,604,2517,2150,1332,2358,2093
110,4,2051,3181,1925,1620,852,3108,569,3230,196
111,2651,2940,1427,3089,2008,2269,403,1448,2191,1471
112,127,1550,1023,1063,3024,2580,554,286,859,2956
113,444,3099,957,108,2444,1733,1389,2603,1970,2379
114,882,948,3220,1230,2167,3149,2154,2674,1933,274
115,3201,1795,2789,1883,2821,195,1667,1473,412,3303
116,43,1039,2993,2800,1162,1272,957,814,1630,2463
117,599,1605,1975,1024,2525,203,656,2607,1773,1965
118,158,1501,1147,1132,901,2497,1773,455,2066,1529
119,3166,2236,1337,3128,1506,3165,630,2812,667,2013
120,2404,665,1853,2068,2117,2791,2715,1672,1220,1486
121,3152,1292,2455,513,1623,1226,3307,2998,2325,1412
122,1620,1529,712,2496,1284,3043,2694,2719,1457,2631
123,2490,974,93,2932,2413,2018,1865,1175,1278,1682
124,1517,1133,33,1859,2584,2188,1085,923,587,436
125,2738,1413,3134,1005,46,1158,2488,2450,2802,1296
126,2417,2386,1823,1622,2945,841,194,515,1664,2217
127,2677,3320,228,2618,3004,1046,785,855,2099,1644
128,7,1390,2401,1324,3280,2612,2801,1874,1184,298
129,658,3269,2457,1681,336,973,1931,3077,1187,63
130,2791,2465,389,414,818,565,583,1457,2168,2167
131,1687,2815,2170,670,1865,2014,3163,2721,78,1268
132,1041,2627,308,232,80,923,1833,2804,248,1899
133,1106,1217,306,2069,2974,250,1319,414,3350,968
134,2547,894,2392,2130,2496,3083,2858,1026,2220,2319
135,2181,2189,2448,1365,2059,3362,1669,2349,2385,2290
136,2445,1887,2965,736,3331,208,1188,3343,397,2164
137,1661,1309,281,1460,1750,1439,789,1829,311,852
138,284,2375,1289,506,216,2787,3140,2643,1180,892
139,1748,2293,1074,3226,1421,1434,371,1436,3394,1404
140,410,2331,1977,732,3088,2481,3280,2340,419,3085
141,345,213,2008,1950,3172,2847,2365,2495,2877,2577
142,1559,211,2016,1259,2313,1410,3357,3007,1436,2579
143,2203,1880,834,2857,1957,2106,2675,700,578,3399
144,3021,1031,3127,2193,2414,412,1389,983,1248,2833
145,1666,238,1096,668,1028,3236,3027,2533,303,2254
146,2878,971,504,3118,580,2798,2906,3056,1488,2252
147,2211,1106,1542,558,669,1042,3070,1956,1369,473
148,1662,360,2917,2002,1774,696,526,1236,1426,507
149,964,2838,2185,1993,3015,714,1501,1252,1871,559
150,1448,921,2430,3319,2525,3014,3069,272,3386,709
151,126,228,405,1176,829,330,1574,3311,1965,3285
152,2751,3142,2481,2692,1069,1040,2691,3020,2242,447
153,867,5,2044,2242,3086,1896,424,3148,121,3396
154,2913,2584,2902,1154,1374,2820,1093,668,633,2687
155,633,2200,207,115,431,585,597,2050,3376,150
156,2990,964,2147,3244,384,1076,1548,576,2223,68
157,916,2287,797,967,1587,2410,2025,2674,2062,1567
158,391,1343,1760,2388,473,2484,704,2704,1136,248
159,3027,619,1649,2654,567,3161,1290,483,2542,3313
160,1054,794,243,1010,991,1483,2709,535,1048,2265
161,916,1611,3215,2484,2808,3266,3236,35,2673,513
162,1044,953,1901,1543,2262,2083,38,776,1197,453
163,2797,1268,2324,2909,1757,2648,271,2554,3006,3281
164,2019,2060,2375,1301,1477,1666,2440,632,2770,1156
165,568,2399,624,642,1081,370,1879,865,280,355
166,458,602,3185,2786,2702,206,2528,1885,262,2299
167,61,1903,2451,2033,1970,3071,2813,2072,941,784
168,2092,643,3101,3011,2071,2034,1913,476,1636,2819
169,1463,1262,1202,2591,1582,1309,2802,1560,664,1411
170,124,1323,556,361,1177,953,2645,745,1840,3148
171,1784,2883,1059,2354,390,506,3119,2137,594,2112
172,2345,953,416,3161,276,1044,3331,2125,527,2041
173,2895,1271,922,1330,3363,3347,2880,1170,1461,748
174,1577,1890,2053,3196,541,1720,3012,3244,2858,780
175,1735,494,1112,737,14,2016,2414,2651,3379,2183
176,368,380,1274,2299,624,1236,1076,2716,2753,2078
177,2959,2359,993,2212,194,2572,2369,2639,2640,1239
178,1973,696,651,3137,1250,1350,2464,3322,2378,2244
179,33,1762,3381,2273,1310,2186,1468,1830,1722,937
180,228,3075,1360,934,2115,432,2788,2212,605,2190
181,174,2586,2449,809,1501,2585,1346,2454,1065,993
182,906,3114,549,1799,854,636,771,1236,1659,2929
183,1117,2466,1233,3330,1152,3111,1838,3264,1228,544
184,3137,997,1757,1014,1427,1856,38,1566,2483,2247
